time,open,high,low,close,volume
1560182400,7567.96,7569.859,7496.96,7501.76,60.1864
1560196800,7501.469,7515.06,7500.77,7502.87,5.2481
1560211200,7502.87,7538.97,7499.56,7532.47,18.2904
1560225600,7532.559,7541.97,7526.47,7537.96,13.9385
1560240000,7537.86,7565.36,7537.67,7559.47,18.0998
1560254400,7559.969,7595.66,7507.46,7516.37,61.9605
1560268800,7516.37,7529.659,7488.06,7512.359,64.0497
1560283200,7512.359,7516.86,7504.76,7507.77,7.0975
1560297600,7507.77,7524.67,7496.26,7501.36,17.9791
1560312000,7501.459,7502.76,7469.46,7479.26,17.1505
1560326400,7479.47,7491.97,7466.66,7475.46,25.5432
1560340800,7475.669,7506.86,7458.459,7462.06,71.3727
1560355200,7461.87,7483.16,7456.869,7471.759,44.9316
1560369600,7471.759,7486.369,7467.369,7483.77,3.5534
1560384000,7483.77,7492.869,7416.059,7451.87,42.1089
1560398400,7452.069,7499.37,7439.67,7487.27,43.1714
1560412800,7487.06,7517.67,7482.76,7502.87,25.8037
1560427200,7503.059,7530.37,7487.559,7509.07,70.1624
1560441600,7509.07,7517.369,7484.97,7513.87,52.1254
1560456000,7514.77,7522.26,7487.759,7490.56,5.9066
1560470400,7490.56,7515.76,7481.06,7508.859,27.4833
1560484800,7508.77,7514.259,7471.059,7480.959,20.7195
1560499200,7480.959,7484.559,7446.459,7471.969,26.0923
1560513600,7471.969,7491.359,7452.06,7473.069,74.74
1560528000,7472.96,7500.56,7466.859,7478.159,40.3922
1560542400,7477.969,7482.06,7473.37,7473.869,1.7016
1560715200,7477.159,7498.37,7476.069,7493.369,4.0344
1560729600,7493.059,7510.169,7485.069,7506.07,24.9377
1560744000,7506.07,7509.969,7482.869,7487.469,16.2877
1560758400,7487.359,7499.47,7478.159,7496.169,13.6019
1560772800,7496.36,7547.37,7482.66,7526.069,52.5394
1560787200,7526.07,7543.27,7517.669,7525.37,25.4613
1560801600,7525.659,7539.56,7524.16,7532.76,2.6091
1560816000,7533.17,7544.769,7531.359,7535.659,12.3127
1560830400,7535.659,7537.17,7510.87,7518.569,15.1538
1560844800,7518.759,7609.87,7515.67,7606.36,28.3507
1560859200,7606.359,7691.56,7595.36,7648.57,54.0351
1560873600,7648.57,7660.27,7627.56,7635.96,41.988
1560888000,7635.77,7655.37,7632.36,7653.459,4.9779
1560902400,7653.459,7658.47,7639.86,7645.86,18.5252
1560916800,7645.86,7650.37,7640.86,7646.06,12.5737
1560931200,7646.369,7650.07,7630.57,7648.06,16.1875
1560945600,7648.06,7653.57,7608.36,7630.959,40.7264
1560960000,7631.259,7682.07,7601.36,7665.07,53.4331
1560974400,7665.87,7700.56,7661.859,7696.469,6.3988
1560988800,7696.469,7734.87,7693.96,7731.77,27.3717
1561003200,7731.77,7756.36,7721.359,7746.97,18.4835
1561017600,7746.97,7775.26,7743.57,7767.06,18.0485
1561032000,7767.369,7789.77,7708.67,7723.659,58.1959
1561046400,7723.769,7747.17,7677.37,7734.27,64.0673
1561060800,7734.27,7747.37,7723.259,7732.969,10.7524
1561075200,7732.759,7739.46,7704.869,7711.26,41.3447
1561089600,7711.359,7736.869,7695.059,7730.359,38.8783
1561104000,7730.059,7730.97,7708.86,7712.77,38.9207
1561118400,7712.859,7773.059,7702.369,7733.96,86.8494
1561132800,7733.859,7748.369,7721.359,7725.86,53.1305
1561147200,7726.06,7735.369,7719.86,7720.859,3.7064
1561320000,7713.859,7742.27,7710.859,7738.959,8.8059
1561334400,7739.069,7762.96,7732.259,7758.369,32.6853
1561348800,7758.27,7759.769,7742.26,7743.36,23.6893
1561363200,7743.27,7751.47,7732.559,7742.87,27.2064
1561377600,7742.87,7747.47,7719.559,7740.459,72.6666
1561392000,7740.459,7744.36,7719.559,7722.87,45.5542
1561406400,7723.57,7732.27,7723.259,7728.87,5.6899
1561420800,7728.87,7748.47,7692.369,7697.959,36.0203
1561435200,7698.07,7709.569,7683.46,7704.869,29.4379
1561449600,7704.869,7714.97,7697.859,7713.36,30.4084
1561464000,7712.57,7725.56,7650.97,7658.46,65.0508
1561478400,7658.459,7669.47,7580.56,7592.159,41.123
1561492800,7592.57,7611.47,7586.16,7595.67,10.7112
1561507200,7595.969,7615.969,7594.959,7609.07,30.5594
1561521600,7609.16,7609.77,7591.559,7606.969,13.4711
1561536000,7606.77,7667.57,7604.07,7649.009,17.3991
1561550400,7649.009,7689.57,7614.17,7657.969,53.2988
1561564800,7658.07,7663.659,7614.76,7626.17,54.9767
1561579200,7626.07,7629.06,7613.06,7623.47,4.7198
1561593600,7623.66,7655.27,7620.07,7654.16,17.759
1561608000,7654.459,7675.07,7642.46,7668.96,17.6034
1561622400,7669.16,7685.66,7620.96,7640.17,26.6067
1561636800,7640.26,7672.459,7634.959,7645.869,55.7203
1561651200,7646.36,7672.77,7642.869,7655.77,33.2689
1561665600,7655.77,7669.76,7654.47,7667.17,4.4426
1561680000,7667.469,7679.66,7643.659,7652.66,17.0514
1561694400,7652.959,7669.769,7645.46,7668.27,16.3241
1561708800,7668.27,7676.27,7660.06,7667.66,15.6157
1561723200,7667.97,7682.16,7637.07,7661.659,55.7858
1561737600,7661.57,7681.57,7642.759,7666.76,52.4766
1561752000,7665.759,7699.059,7664.56,7698.77,4.8769
1561924800,7765.969,7796.56,7764.97,7774.76,13.6954
1561939200,7774.669,7775.259,7744.959,7766.06,30.9396
1561953600,7766.26,7804.259,7764.57,7794,30.9249
1561968000,7794,7806.759,7789.26,7802.77,19.8588
1561982400,7803.07,7822.759,7766.76,7772.76,71.2924
1561996800,7772.97,7777.67,7732.469,7766.27,65.9329
1562011200,7766.555,7769.67,7738.27,7748.959,9.9923
1562025600,7748.77,7766.87,7747.27,7766.36,23.7833
1562040000,7766.36,7770.559,7749.359,7749.469,20.8496
1562054400,7749.06,7753.27,7734.56,7748.56,26.6646
1562068800,7748.47,7781.06,7747.959,7758.359,64.5448
1562083200,7758.06,7800.37,7741.859,7799.97,52.7311
1562097600,7799.569,7814.859,7793.96,7807.57,6.9855
1562112000,7807.57,7811.27,7797.459,7803.069,23.9365
1562126400,7803.27,7831.37,7797.859,7827.569,16.5109
1562140800,7827.569,7844.07,7825.369,7827.06,8.5707
1562155200,7827.06,7845.47,7808.87,7842.66,18.5292
1562169600,7842.86,7866.17,7838.36,7862.57,10.9189
1562184000,7871.66,7873.36,7860.87,7862.559,3.7475
1562198400,7862.87,7864.67,7853.87,7858.36,6.7544
1562212800,7858.46,7864.469,7854.37,7858.06,4.0301
1562227200,7858.159,7868.97,7855.16,7868.87,4.4411
1562241600,7868.659,7880.16,7865.97,7876.46,5.193
1562256000,7876.559,7878.17,7872.06,7875.17,0.7822
1562270400,7872.46,7881.96,7872.46,7876.66,1.1537
1562284800,7876.66,7878.97,7867.86,7875.17,5.5142
1562299200,7875.06,7880.969,7860.16,7863.67,4.6276
1562313600,7863.67,7864.36,7839.37,7841.86,7.1022
1562328000,7841.86,7850.57,7771.06,7801.47,33.0503
1562342400,7801.659,7856.27,7792.959,7843.87,19.9442
1562356800,7843.06,7844.059,7825.57,7826.26,1.1148
1562529600,7833.36,7837.36,7816.47,7816.759,1.8701
1562544000,7816.869,7819.859,7800.56,7803.37,10.7727
1562558400,7803.46,7811.06,7782.36,7806.26,8.6675
1562572800,7806.26,7817.86,7786.36,7792.469,21.5273
1562587200,7792.359,7799.759,7752.559,7768.169,62.6015
1562601600,7767.959,7792.77,7758.459,7787.559,41.6953
1562616000,7787.359,7788.86,7764.959,7768.97,6.0667
1562630400,7769.27,7777.37,7727.069,7731.96,12.3591
1562644800,7731.96,7748.269,7719.97,7719.97,13.1058
1562659200,7719.97,7748.07,7718.76,7747.859,14.8928
1562673600,7747.859,7811.36,7741.369,7808.059,23.9385
1562688000,7808.059,7834.87,7806.269,7826.859,21.8381
1562702400,7826.56,7826.77,7816.56,7822.369,4.9552
1562716800,7822.369,7843.859,7820.46,7825.559,19.371
1562731200,7825.559,7826.27,7795.56,7807.259,16.2531
1562745600,7807.259,7815.57,7786.96,7804.359,17.9479
1562760000,7804.359,7925.87,7802.56,7893.37,57.7528
1562774400,7893.469,7912.87,7879.27,7902.77,36.8087
1562788800,7902.86,7908.87,7894.77,7902.07,4.0737
1562803200,7902.07,7932.96,7898.87,7930.87,13.5472
1562817600,7930.87,7935.87,7916.86,7923.87,12.4594
